sku,desc
03-4039BRT,HUDSON 19 2025 SANDSTONE               T
03-4040BK ,HUDSON 21 2025 GLOSS BLACK              
03-4040BKT,HUDSON 21 2025 GLOSS BLACK             T
03-4040BKT,HUDSON 21 2025 GLOSS BLACK             T
03-4041BL ,HUDSON 21 2025 MIDNIGHT BLUE            
03-4041BL ,HUDSON 21 2025 MIDNIGHT BLUE            
03-4041BLT,HUDSON 21 2025 MIDNIGHT BLUE           T
03-4041BLT,HUDSON 21 2025 MIDNIGHT BLUE           T
03-4043BL ,HUDSON S/T 14 2025 BLUE LAGOON          
03-4044BK ,HUDSON S/T 14 2025 GLOSS BLACK          
03-4044BKT,HUDSON S/T 14 2025 GLOSS BLACK         T
03-4046MN ,HUDSON S/T 14 2025 VANILLA MINT        T
03-4046MN ,HUDSON S/T 14 2025 VANILLA MINT        T
03-4047BL ,HUDSON S/T 18 2025 BLUE LAGOON         T
03-4051PD ,EXPLORER A1 15 2025 PALLADIUM           
03-4052BL ,EXPLORER A1 15 2025 RIPTIDE            T
03-4053PD ,EXPLORER A1 17 2025 PALLADIUM          T
03-4056BL ,EXPLORER A1 19 2025 RIPTIDE            T
03-4058BL ,EXPLORER A1 21 2025 RIPTIDE            T
03-4063PD ,EXPLORER A1 S/T 18 2025 PALLADIUM       
03-4065BL ,EXPLORER A2 15 2025 DEEP BLUE           
03-4065BL ,EXPLORER A2 15 2025 DEEP BLUE           
03-4065BLT,EXPLORER A2 15 2025 DEEP BLUE          T
03-4066BK ,EXPLORER A2 15 2025 GLOSS BLACK         
03-4066BK ,EXPLORER A2 15 2025 GLOSS BLACK         
03-4066BKT,EXPLORER A2 15 2025 GLOSS BLACK        T
03-4067BL ,EXPLORER A2 17 2025 DEEP BLUE           
03-4067BL ,EXPLORER A2 17 2025 DEEP BLUE           
03-4067BLT,EXPLORER A2 17 2025 DEEP BLUE          T
03-4068BK ,EXPLORER A2 17 2025 GLOSS BLACK         
03-4068BK ,EXPLORER A2 17 2025 GLOSS BLACK         
03-4069BL ,EXPLORER A2 19 2025 DEEP BLUE           
03-4069BL ,EXPLORER A2 19 2025 DEEP BLUE           
03-4069BLT,EXPLORER A2 19 2025 DEEP BLUE          T
03-4070BKT,EXPLORER A2 19 2025 GLOSS BLACK        T
03-4070BL ,EXPLORER A2 19 2025 GLOSS BLACK         
03-4070BL ,EXPLORER A2 19 2025 GLOSS BLACK         
03-4071BL ,EXPLORER A2 21 2025 DEEP BLUE           
03-4071BL ,EXPLORER A2 21 2025 DEEP BLUE           
03-4071BLT,EXPLORER A2 21 2025 DEEP BLUE          T
03-4071BLT,EXPLORER A2 21 2025 DEEP BLUE          T
03-4072BK ,EXPLORER A2 21 2025 GLOSS BLACK         
03-4072BK ,EXPLORER A2 21 2025 GLOSS BLACK         
03-4072BKT,EXPLORER A2 21 2025 GLOSS BLACK        T
03-4073BL ,EXPLORER A2 S/T 14 2025 DEEP BLUE       
03-4073BLT,EXPLORER A2 S/T 14 2025 DEEP BLUE      T
03-4074SG ,EXPLORER A2 S/T 14 2025 SAGE            
03-4075BL ,EXPLORER A2 S/T 16 2025 DEEP BLUE       
03-4076SGT,EXPLORER A2 S/T 16 2025 SAGE           T
03-4077BL ,EXPLORER A2 S/T 18 2025 DEEP BLUE       
03-4077BLT,EXPLORER A2 S/T 18 2025 DEEP BLUE      T
03-4079BK ,TRAIL XR 13 2025 GLOSS BLACK            
03-4079BK ,TRAIL XR 13 2025 GLOSS BLACK            
03-4080SL ,TRAIL XR 13 2025 NICKEL                 
03-4080SLT,TRAIL XR 13 2025 NICKEL                T
03-4081BK ,TRAIL XR 15 2025 GLOSS BLACK            
